race,AG18D,AG18R,AG18None
WVAP,0.1546 (0.1133-0.1916),0.267 (0.2252-0.2946),0.5785 (0.5326-0.6327)
OVAP,0.2408 (0.086-0.4175),0.1722 (0.0575-0.3488),0.587 (0.357-0.7807)
