race,GOV18D,GOV18R,GOV18None
WVAP,0.0572 (0.0292-0.088),0.3641 (0.3214-0.3974),0.5787 (0.532-0.6303)
OVAP,0.2403 (0.1045-0.3651),0.1973 (0.0596-0.3758),0.5624 (0.3462-0.7591)
