race,AG14D,AG14R,AG14None
WVAP,0.1152 (0.0774-0.1529),0.2469 (0.2056-0.2767),0.6379 (0.5897-0.6923)
OVAP,0.2472 (0.0872-0.4136),0.1648 (0.0403-0.3398),0.588 (0.3584-0.7901)
