race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0069 (0.0038-0.0112),0.0008 (0.0002-0.0015),0.0017 (0.0007-0.0031),0.0007 (0.0002-0.0014),0.0074 (0.0034-0.0123),0.9825 (0.9758-0.9879)
BVAP,0.0375 (0.0146-0.0684),0.0069 (0.0016-0.0147),0.0138 (0.0039-0.0268),0.0058 (0.0015-0.0123),0.0489 (0.0196-0.081),0.887 (0.8434-0.9272)
HVAP,0.2119 (0.0813-0.371),0.0625 (0.0202-0.1119),0.1004 (0.0364-0.1755),0.0427 (0.0147-0.0789),0.1359 (0.0458-0.2587),0.4466 (0.2471-0.6193)
OVAP,0.1656 (0.0557-0.2865),0.0399 (0.0084-0.0747),0.0803 (0.0323-0.1372),0.0307 (0.0097-0.0559),0.1589 (0.0636-0.2838),0.5246 (0.3623-0.6744)
