race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0102 (0.0052-0.0168),0.0013 (0.0003-0.0029),0.0057 (0.0023-0.0105),0.9828 (0.9747-0.9894)
BVAP,0.0596 (0.0237-0.103),0.0182 (0.005-0.0354),0.0573 (0.0236-0.095),0.865 (0.8106-0.9168)
HVAP,0.185 (0.0547-0.3519),0.1265 (0.0363-0.224),0.1723 (0.0587-0.3157),0.5162 (0.3105-0.7132)
OVAP,0.2267 (0.0771-0.3857),0.0953 (0.0353-0.1672),0.2215 (0.0924-0.3628),0.4565 (0.2619-0.6634)
