race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0137 (0.0056-0.0249),0.0113 (0.0054-0.0187),0.0046 (0.0016-0.0091),0.9705 (0.9553-0.9825)
OVAP,0.1082 (0.0593-0.1454),0.0598 (0.0266-0.0888),0.048 (0.0265-0.0632),0.7839 (0.7291-0.8513)
