race,AG14D,AG14R,AG14None
WVAP,0.1072 (0.0784-0.1365),0.233 (0.2033-0.2592),0.6597 (0.6208-0.6979)
BVAP,0.252 (0.1027-0.4128),0.182 (0.0514-0.3446),0.566 (0.3564-0.7714)
HVAP,0.3428 (0.1185-0.628),0.3211 (0.1095-0.6015),0.3361 (0.1086-0.6061)
OVAP,0.3546 (0.129-0.6361),0.3265 (0.098-0.6146),0.3189 (0.0827-0.6036)
