race,Michael D. Brady,Moises M. Rodrigues,SSEN20PTurnout
B+VAP,0.2049 (0.0857-0.3481),0.7951 (0.6519-0.9143),0.1323 (0.1005-0.166)
OVAP,0.6514 (0.6082-0.6902),0.3486 (0.3098-0.3918),0.2188 (0.2037-0.2337)
