,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
214,Charles,2563,Charles Precinct 04-001,2230,87,133,21,333,2563,1,0.870074131876707,0.12992586812329301,2322,0.03394459617635583,0.0518923136948888,0.008193523214982443,0.905969566913773
215,Charles,2392,Charles Precinct 08-001,1757,225,141,41,635,2392,1,0.7345317725752508,0.2654682274247492,1985,0.09406354515050168,0.058946488294314384,0.017140468227424748,0.8298494983277592
216,Charles,2371,Charles Precinct 06-001,1797,162,100,27,574,2371,1,0.7579080556727119,0.24209194432728806,2082,0.06832560101223113,0.04217629692113033,0.011387600168705188,0.8781105018979334
217,Charles,3623,Charles Precinct 06-014,1425,449,111,50,2198,3623,1,0.3933204526635385,0.6066795473364615,3013,0.12393044438310792,0.030637593154844052,0.01380071763731714,0.8316312448247308
378,Charles,2571,Charles Precinct 09-002,1957,149,96,27,614,2571,1,0.7611824192921043,0.23881758070789577,2299,0.057954103461688056,0.03733955659276546,0.010501750291715286,0.8942045896538312
387,Charles,2356,Charles Precinct 09-001,1447,220,74,31,909,2356,1,0.6141765704584041,0.38582342954159593,2031,0.0933786078098472,0.031409168081494056,0.013157894736842105,0.8620543293718166
454,Charles,3603,Charles Precinct 06-006,1784,292,109,31,1819,3603,1,0.49514293644185403,0.504857063558146,3171,0.0810435747987788,0.03025256730502359,0.008603941160144324,0.8800999167360533
455,Charles,2547,Charles Precinct 06-018,447,398,61,29,2100,2547,1,0.17550058892815076,0.8244994110718492,2059,0.15626226933647427,0.023949744797801334,0.011385944248135061,0.8084020416175893
456,Charles,2806,Charles Precinct 06-009,1003,261,56,27,1803,2806,1,0.357448325017819,0.642551674982181,2462,0.09301496792587313,0.019957234497505347,0.00962223806129722,0.8774055595153243
457,Charles,2084,Charles Precinct 06-008,812,201,46,22,1272,2084,1,0.3896353166986564,0.6103646833013435,1815,0.09644913627639155,0.022072936660268713,0.01055662188099808,0.8709213051823417
458,Charles,2626,Charles Precinct 06-016,1097,189,42,20,1529,2626,1,0.41774562071591775,0.5822543792840823,2375,0.07197258187357197,0.015993907083015995,0.007616146230007616,0.9044173648134044
