Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 12, PRECINCT 5",7.0,0.0,34.0,128.0,35.0,2.0,0.0,7.0,213.0,0.0
"WARD 12, PRECINCT 6",11.0,0.0,48.0,152.0,35.0,0.0,0.0,20.0,266.0,0.0
"WARD 12, PRECINCT 7",23.0,5.0,77.0,228.0,91.0,7.0,0.0,4.0,435.0,0.0
"WARD 12, PRECINCT 8",8.0,1.0,35.0,93.0,32.0,2.0,0.0,6.0,177.0,0.0
"WARD 12, PRECINCT 9",5.0,0.0,60.0,132.0,45.0,1.0,1.0,7.0,252.0,1.0
"WARD 13, PRECINCT 1",15.0,0.0,54.0,150.0,46.0,2.0,1.0,56.0,324.0,0.0
"WARD 13, PRECINCT 10",314.0,2.0,155.0,39.0,181.0,1.0,11.0,26.0,729.0,0.0
"WARD 13, PRECINCT 2",4.0,1.0,29.0,48.0,19.0,0.0,0.0,15.0,116.0,0.0
"WARD 13, PRECINCT 3",34.0,0.0,41.0,49.0,73.0,0.0,1.0,8.0,206.0,0.0
"WARD 13, PRECINCT 4",9.0,0.0,49.0,84.0,33.0,3.0,3.0,35.0,216.0,0.0
"WARD 13, PRECINCT 5",19.0,0.0,52.0,53.0,51.0,2.0,0.0,63.0,240.0,0.0
"WARD 13, PRECINCT 6",64.0,4.0,79.0,50.0,94.0,2.0,1.0,43.0,340.0,3.0
"WARD 13, PRECINCT 7",123.0,3.0,55.0,33.0,132.0,2.0,4.0,11.0,364.0,1.0
"WARD 13, PRECINCT 8",117.0,0.0,50.0,29.0,94.0,2.0,2.0,17.0,311.0,0.0
"WARD 13, PRECINCT 9",105.0,1.0,71.0,44.0,104.0,1.0,3.0,32.0,362.0,1.0
"WARD 14, PRECINCT 1",23.0,0.0,88.0,278.0,69.0,4.0,0.0,38.0,500.0,0.0
"WARD 14, PRECINCT 10",16.0,1.0,77.0,127.0,43.0,2.0,0.0,14.0,280.0,0.0
"WARD 14, PRECINCT 11",13.0,3.0,88.0,134.0,33.0,0.0,0.0,12.0,283.0,0.0
"WARD 14, PRECINCT 12",5.0,0.0,38.0,92.0,21.0,0.0,0.0,7.0,163.0,0.0
"WARD 14, PRECINCT 13",11.0,0.0,73.0,120.0,30.0,0.0,0.0,4.0,238.0,0.0
"WARD 14, PRECINCT 14",15.0,0.0,67.0,142.0,32.0,2.0,1.0,2.0,261.0,0.0
"WARD 14, PRECINCT 2",19.0,1.0,129.0,265.0,61.0,3.0,1.0,31.0,510.0,0.0
"WARD 14, PRECINCT 3",6.0,1.0,43.0,125.0,45.0,2.0,0.0,4.0,226.0,0.0
"WARD 14, PRECINCT 4",20.0,0.0,76.0,133.0,59.0,1.0,1.0,18.0,308.0,0.0
"WARD 14, PRECINCT 5",13.0,1.0,40.0,112.0,36.0,1.0,1.0,1.0,206.0,1.0
"WARD 14, PRECINCT 6",13.0,0.0,67.0,103.0,28.0,0.0,0.0,12.0,224.0,1.0
"WARD 14, PRECINCT 7",12.0,0.0,74.0,99.0,32.0,3.0,0.0,7.0,227.0,0.0
"WARD 14, PRECINCT 8",23.0,0.0,92.0,143.0,49.0,0.0,1.0,5.0,314.0,1.0
"WARD 14, PRECINCT 9",11.0,1.0,53.0,101.0,31.0,1.0,0.0,12.0,211.0,1.0
"WARD 15, PRECINCT 1",30.0,0.0,55.0,133.0,44.0,0.0,0.0,41.0,305.0,2.0
"WARD 15, PRECINCT 2",20.0,0.0,42.0,90.0,23.0,0.0,2.0,32.0,209.0,0.0
"WARD 15, PRECINCT 3",16.0,0.0,21.0,47.0,26.0,0.0,0.0,26.0,136.0,0.0
"WARD 15, PRECINCT 4",25.0,0.0,70.0,123.0,50.0,3.0,2.0,80.0,353.0,0.0
"WARD 15, PRECINCT 5",21.0,0.0,69.0,116.0,43.0,1.0,0.0,35.0,285.0,0.0
"WARD 15, PRECINCT 6",73.0,2.0,26.0,28.0,61.0,2.0,5.0,8.0,205.0,0.0
"WARD 15, PRECINCT 7",25.0,1.0,53.0,78.0,48.0,0.0,0.0,41.0,247.0,1.0
"WARD 15, PRECINCT 8",38.0,5.0,38.0,66.0,53.0,0.0,1.0,21.0,223.0,1.0
"WARD 15, PRECINCT 9",25.0,0.0,46.0,49.0,59.0,1.0,1.0,22.0,203.0,0.0
"WARD 16, PRECINCT 1",52.0,0.0,68.0,53.0,69.0,1.0,1.0,10.0,254.0,0.0
"WARD 16, PRECINCT 10",343.0,0.0,37.0,24.0,75.0,0.0,9.0,11.0,500.0,1.0
"WARD 16, PRECINCT 11",331.0,1.0,90.0,61.0,92.0,0.0,1.0,19.0,595.0,0.0
"WARD 16, PRECINCT 12",598.0,2.0,39.0,39.0,51.0,1.0,3.0,15.0,749.0,1.0
"WARD 16, PRECINCT 2",139.0,1.0,41.0,21.0,78.0,1.0,2.0,10.0,294.0,1.0
"WARD 16, PRECINCT 3",46.0,0.0,117.0,91.0,79.0,4.0,2.0,10.0,349.0,0.0
"WARD 16, PRECINCT 4",72.0,0.0,71.0,67.0,94.0,0.0,3.0,16.0,324.0,1.0
"WARD 16, PRECINCT 5",183.0,1.0,70.0,50.0,104.0,0.0,1.0,5.0,414.0,0.0
"WARD 16, PRECINCT 6",110.0,0.0,100.0,98.0,110.0,0.0,4.0,24.0,448.0,2.0
"WARD 16, PRECINCT 7",343.0,0.0,53.0,43.0,83.0,0.0,3.0,19.0,545.0,1.0
"WARD 16, PRECINCT 8",297.0,0.0,108.0,52.0,126.0,0.0,5.0,23.0,611.0,0.0
"WARD 16, PRECINCT 9",533.0,0.0,55.0,24.0,80.0,3.0,2.0,16.0,713.0,0.0
"WARD 17, PRECINCT 1",9.0,1.0,65.0,125.0,38.0,1.0,0.0,20.0,259.0,0.0
"WARD 17, PRECINCT 10",14.0,0.0,120.0,161.0,44.0,0.0,2.0,10.0,352.0,1.0
"WARD 17, PRECINCT 11",15.0,1.0,71.0,53.0,31.0,0.0,2.0,12.0,185.0,0.0
"WARD 17, PRECINCT 12",39.0,0.0,85.0,141.0,33.0,0.0,0.0,13.0,311.0,0.0
"WARD 17, PRECINCT 13",152.0,0.0,111.0,97.0,110.0,1.0,5.0,13.0,489.0,0.0
"WARD 17, PRECINCT 14",83.0,0.0,170.0,104.0,101.0,0.0,1.0,16.0,477.0,2.0
"WARD 17, PRECINCT 2",13.0,0.0,66.0,76.0,29.0,0.0,1.0,20.0,205.0,0.0
