Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 5, PRECINCT 6",80.0,0.0,123.0,40.0,183.0,1.0,3.0,15.0,445.0,0.0
"WARD 5, PRECINCT 7",110.0,0.0,130.0,42.0,205.0,5.0,4.0,10.0,507.0,1.0
"WARD 5, PRECINCT 8",85.0,1.0,123.0,28.0,180.0,2.0,3.0,11.0,433.0,0.0
"WARD 5, PRECINCT 9",94.0,0.0,124.0,36.0,237.0,2.0,6.0,18.0,517.0,0.0
"WARD 6, PRECINCT 1",283.0,2.0,262.0,122.0,543.0,2.0,25.0,45.0,1287.0,3.0
"WARD 6, PRECINCT 2",120.0,1.0,29.0,29.0,92.0,0.0,8.0,9.0,289.0,1.0
"WARD 6, PRECINCT 3",183.0,0.0,52.0,25.0,114.0,0.0,5.0,6.0,385.0,0.0
"WARD 6, PRECINCT 4",219.0,2.0,64.0,18.0,126.0,0.0,7.0,15.0,451.0,0.0
"WARD 6, PRECINCT 5",185.0,0.0,45.0,21.0,123.0,3.0,19.0,13.0,409.0,0.0
"WARD 6, PRECINCT 6",294.0,0.0,33.0,19.0,81.0,1.0,12.0,16.0,457.0,1.0
"WARD 6, PRECINCT 7",272.0,0.0,59.0,19.0,69.0,0.0,13.0,5.0,437.0,0.0
"WARD 6, PRECINCT 8",272.0,1.0,35.0,17.0,77.0,0.0,6.0,14.0,423.0,1.0
"WARD 6, PRECINCT 9",336.0,1.0,31.0,17.0,79.0,1.0,13.0,6.0,484.0,0.0
"WARD 7, PRECINCT 1",299.0,0.0,40.0,19.0,55.0,2.0,20.0,9.0,444.0,0.0
"WARD 7, PRECINCT 10",22.0,0.0,43.0,72.0,43.0,3.0,2.0,100.0,285.0,0.0
"WARD 7, PRECINCT 2",329.0,3.0,41.0,19.0,109.0,0.0,7.0,10.0,518.0,0.0
"WARD 7, PRECINCT 3",341.0,4.0,57.0,28.0,124.0,0.0,17.0,13.0,587.0,3.0
"WARD 7, PRECINCT 4",165.0,0.0,55.0,13.0,79.0,0.0,9.0,12.0,334.0,1.0
"WARD 7, PRECINCT 5",109.0,0.0,45.0,29.0,99.0,1.0,8.0,11.0,302.0,0.0
"WARD 7, PRECINCT 6",89.0,0.0,28.0,36.0,85.0,4.0,10.0,6.0,259.0,1.0
"WARD 7, PRECINCT 7",31.0,0.0,23.0,58.0,76.0,1.0,9.0,4.0,203.0,1.0
"WARD 7, PRECINCT 8",161.0,3.0,36.0,42.0,93.0,1.0,4.0,16.0,358.0,2.0
"WARD 7, PRECINCT 9",129.0,0.0,55.0,15.0,74.0,1.0,3.0,8.0,286.0,1.0
"WARD 8, PRECINCT 1",26.0,0.0,74.0,88.0,115.0,9.0,0.0,12.0,325.0,1.0
"WARD 8, PRECINCT 2",62.0,0.0,225.0,107.0,194.0,5.0,5.0,5.0,603.0,0.0
"WARD 8, PRECINCT 3",4.0,0.0,61.0,79.0,44.0,0.0,0.0,21.0,210.0,1.0
"WARD 8, PRECINCT 4",4.0,0.0,27.0,79.0,30.0,1.0,0.0,4.0,145.0,0.0
"WARD 8, PRECINCT 5",8.0,0.0,45.0,113.0,39.0,1.0,3.0,143.0,352.0,0.0
"WARD 8, PRECINCT 6",12.0,0.0,23.0,15.0,27.0,0.0,0.0,63.0,140.0,0.0
"WARD 8, PRECINCT 7",13.0,0.0,41.0,70.0,31.0,1.0,1.0,23.0,180.0,0.0
"WARD 9, PRECINCT 1",47.0,2.0,82.0,123.0,188.0,6.0,1.0,13.0,462.0,0.0
"WARD 9, PRECINCT 2",63.0,0.0,203.0,83.0,191.0,6.0,1.0,10.0,557.0,0.0
"WARD 9, PRECINCT 3",36.0,0.0,105.0,238.0,182.0,5.0,2.0,14.0,583.0,1.0
"WARD 9, PRECINCT 4",12.0,2.0,48.0,149.0,106.0,6.0,1.0,6.0,330.0,0.0
"WARD 9, PRECINCT 5",22.0,0.0,105.0,324.0,133.0,1.0,0.0,13.0,598.0,0.0
