race,COMP18D,COMP18R,COMP18None
WVAP,0.1866 (0.1698-0.203),0.1879 (0.1779-0.1968),0.6255 (0.6077-0.6434)
BVAP,0.1946 (0.1015-0.3062),0.053 (0.0182-0.1075),0.7524 (0.6367-0.8563)
HVAP,0.1892 (0.0425-0.3643),0.109 (0.0345-0.2268),0.7018 (0.5066-0.8727)
OVAP,0.4919 (0.2367-0.7082),0.1774 (0.0427-0.3577),0.3307 (0.1434-0.5755)
