race,AG14D,AG14R,AG14None
WVAP,0.1088 (0.0933-0.124),0.2639 (0.2576-0.2684),0.6273 (0.612-0.6433)
OVAP,0.214 (0.1449-0.2891),0.0267 (0.0086-0.0567),0.7593 (0.6817-0.8303)
