race,SEN16D,SEN16R,SEN16None
WVAP,0.0974 (0.0831-0.1127),0.3182 (0.308-0.3269),0.5844 (0.5683-0.6)
BVAP,0.3434 (0.2332-0.4512),0.0461 (0.0136-0.0954),0.6105 (0.4957-0.7215)
HVAP,0.2065 (0.0802-0.3948),0.1082 (0.0362-0.2193),0.6853 (0.49-0.8435)
OVAP,0.4972 (0.2137-0.7255),0.1527 (0.0416-0.3252),0.3501 (0.1356-0.594)
