race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0252 (0.0202-0.03),0.0005 (0.0002-0.0009),0.9743 (0.9695-0.9792)
BVAP,0.0553 (0.0259-0.0903),0.0057 (0.0023-0.0107),0.939 (0.9039-0.9688)
HVAP,0.0738 (0.0201-0.1619),0.0258 (0.0086-0.0476),0.9004 (0.8123-0.9577)
OVAP,0.1141 (0.0342-0.219),0.0227 (0.0093-0.038),0.8632 (0.7591-0.9428)
