race,PRES12D,PRES12R,PRES12None
WVAP,0.1707 (0.1523-0.1901),0.3752 (0.3647-0.3838),0.454 (0.4345-0.472)
BVAP,0.4675 (0.3489-0.5841),0.0385 (0.0111-0.0846),0.4941 (0.3814-0.6146)
HVAP,0.1802 (0.0561-0.3708),0.1123 (0.0255-0.2389),0.7074 (0.4968-0.872)
OVAP,0.3707 (0.1565-0.6168),0.1582 (0.0537-0.3133),0.4711 (0.2508-0.6937)
