race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0277 (0.0228-0.0328),0.0007 (0.0003-0.0013),0.9716 (0.9664-0.9765)
OVAP,0.0589 (0.0365-0.0832),0.0125 (0.0092-0.0154),0.9286 (0.9045-0.9512)
