race,COMP14D,COMP14R,COMP14None
WVAP,0.176 (0.1615-0.1894),0.2212 (0.2129-0.2279),0.6029 (0.5879-0.6184)
BVAP,0.154 (0.0773-0.2483),0.0316 (0.0099-0.0699),0.8144 (0.7145-0.8948)
HVAP,0.1448 (0.0405-0.3109),0.0843 (0.0232-0.1786),0.771 (0.5824-0.9055)
OVAP,0.3092 (0.1086-0.5322),0.135 (0.0309-0.2761),0.5558 (0.3265-0.7892)
