race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0613 (0.055-0.0665),0.0092 (0.0048-0.014),0.9295 (0.9223-0.9373)
OVAP,0.0397 (0.018-0.0696),0.147 (0.1175-0.1771),0.8134 (0.772-0.8515)
