race,SEN18D,SEN18R,SEN18None
WVAP,0.1203 (0.1021-0.1408),0.2361 (0.2289-0.2411),0.6436 (0.6228-0.6626)
OVAP,0.3052 (0.2077-0.4036),0.0367 (0.012-0.0765),0.658 (0.5603-0.7564)
