race,GOV14D,GOV14R,GOV14None
WVAP,0.0441 (0.0327-0.0568),0.3465 (0.34-0.3513),0.6094 (0.5962-0.622)
OVAP,0.2556 (0.1915-0.3195),0.0263 (0.0084-0.056),0.7181 (0.6523-0.7841)
