race,GOV14D,GOV14R,GOV14None
WVAP,0.0425 (0.0326-0.0544),0.3385 (0.3299-0.3453),0.619 (0.6055-0.6317)
BVAP,0.2071 (0.1296-0.2852),0.033 (0.0091-0.0711),0.7599 (0.6788-0.839)
HVAP,0.1829 (0.0483-0.374),0.0828 (0.0229-0.1802),0.7343 (0.5154-0.8912)
OVAP,0.4499 (0.1983-0.6757),0.1175 (0.0358-0.2449),0.4326 (0.2155-0.6764)
