race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0084 (0.0049-0.0118),0.0216 (0.0188-0.0239),0.0192 (0.0165-0.0214),0.9508 (0.9461-0.9555)
OVAP,0.0773 (0.0576-0.1004),0.0159 (0.0054-0.0304),0.0157 (0.0055-0.0296),0.8911 (0.8633-0.9168)
