race,AG18D,AG18R,AG18None
WVAP,0.1122 (0.0937-0.1321),0.2678 (0.26-0.2728),0.6199 (0.5997-0.6394)
OVAP,0.3212 (0.2221-0.4242),0.0369 (0.0129-0.08),0.6419 (0.5389-0.7458)
