race,GOV18D,GOV18R,GOV18None
WVAP,0.0286 (0.0166-0.0423),0.3493 (0.3398-0.3565),0.6221 (0.607-0.636)
OVAP,0.3319 (0.2514-0.4114),0.0481 (0.0169-0.0925),0.62 (0.5385-0.7035)
