race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0291 (0.0259-0.0316),0.0033 (0.0017-0.0054),0.018 (0.0143-0.0215),0.9496 (0.9446-0.9547)
OVAP,0.0172 (0.0064-0.0322),0.0435 (0.0312-0.0549),0.0423 (0.0253-0.0621),0.8969 (0.8703-0.9212)
