race,COMP18D,COMP18R,COMP18None
WVAP,0.1954 (0.1742-0.2152),0.1994 (0.1928-0.2042),0.6052 (0.5851-0.6264)
OVAP,0.2271 (0.1325-0.3337),0.0423 (0.0157-0.0843),0.7305 (0.6235-0.8282)
