race,AG14D,AG14R,AG14None
WVAP,0.1051 (0.0919-0.1192),0.2562 (0.2488-0.2626),0.6387 (0.6244-0.6526)
BVAP,0.1835 (0.099-0.2761),0.0299 (0.0083-0.0642),0.7866 (0.6902-0.8716)
HVAP,0.1677 (0.0612-0.3168),0.078 (0.0231-0.1627),0.7543 (0.593-0.8709)
OVAP,0.395 (0.1701-0.6187),0.1235 (0.0422-0.2336),0.4815 (0.2558-0.7091)
