race,PRES16D,PRES16R,PRES16None
WVAP,0.0936 (0.0753-0.1122),0.3156 (0.3073-0.3215),0.5908 (0.5718-0.6089)
OVAP,0.3637 (0.2718-0.4621),0.0411 (0.0147-0.0817),0.5952 (0.4957-0.6893)
