race,SEN16D,SEN16R,SEN16None
WVAP,0.0943 (0.0768-0.1143),0.3281 (0.3197-0.3344),0.5775 (0.5567-0.5957)
OVAP,0.3762 (0.2802-0.469),0.0395 (0.0116-0.081),0.5843 (0.4892-0.6826)
