race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0161 (0.0129-0.0193),0.0052 (0.0038-0.0067),0.0055 (0.0039-0.0068),0.001 (0.0005-0.0017),0.0045 (0.003-0.0062),0.9677 (0.9637-0.9718)
OVAP,0.0525 (0.0368-0.0699),0.0134 (0.006-0.0222),0.0108 (0.0043-0.0197),0.0074 (0.0029-0.0114),0.0201 (0.011-0.0292),0.8958 (0.8739-0.9167)
