race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0074 (0.0039-0.0109),0.0187 (0.0161-0.0212),0.0162 (0.0135-0.0185),0.9577 (0.9529-0.9632)
BVAP,0.0681 (0.0406-0.0985),0.0144 (0.005-0.0288),0.0142 (0.0047-0.0283),0.9033 (0.8681-0.9355)
HVAP,0.0859 (0.0249-0.1641),0.0471 (0.0154-0.0957),0.0447 (0.0132-0.0919),0.8223 (0.7192-0.9126)
OVAP,0.1158 (0.0478-0.2055),0.0558 (0.0166-0.1061),0.0608 (0.0223-0.1149),0.7677 (0.6493-0.8657)
