race,PRES16D,PRES16R,PRES16None
WVAP,0.0977 (0.0829-0.1143),0.3067 (0.2967-0.3148),0.5956 (0.5785-0.6121)
BVAP,0.3272 (0.2261-0.4302),0.0477 (0.0143-0.1008),0.6251 (0.5196-0.7311)
HVAP,0.2084 (0.0493-0.4144),0.0959 (0.0168-0.2046),0.6957 (0.4658-0.8763)
OVAP,0.4658 (0.2338-0.7249),0.1455 (0.0486-0.2994),0.3887 (0.1439-0.6443)
