race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0151 (0.012-0.0184),0.0034 (0.0022-0.0048),0.0036 (0.0024-0.005),0.0005 (0.0002-0.0008),0.0025 (0.0012-0.0038),0.975 (0.9708-0.9788)
BVAP,0.0467 (0.0234-0.071),0.0088 (0.0029-0.0176),0.0074 (0.0025-0.0148),0.0041 (0.0015-0.008),0.0106 (0.0036-0.0212),0.9223 (0.8944-0.9507)
HVAP,0.0611 (0.0226-0.1212),0.0331 (0.0109-0.0644),0.0315 (0.0096-0.0635),0.0189 (0.0065-0.0342),0.0384 (0.0112-0.0773),0.817 (0.7372-0.8855)
OVAP,0.0863 (0.0224-0.1683),0.0492 (0.0201-0.0845),0.0453 (0.0136-0.079),0.0178 (0.0084-0.0285),0.0757 (0.037-0.1146),0.7258 (0.6252-0.8062)
