race,SEN12D,SEN12R,SEN12None
WVAP,0.1353 (0.118-0.1529),0.2325 (0.2265-0.2369),0.6322 (0.6145-0.6502)
OVAP,0.3851 (0.3025-0.4689),0.0285 (0.0095-0.0583),0.5864 (0.5003-0.6707)
