race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0258 (0.0228-0.0288),0.0023 (0.0011-0.004),0.0158 (0.0122-0.0192),0.9561 (0.9512-0.961)
BVAP,0.0155 (0.0055-0.0315),0.0281 (0.0132-0.0456),0.037 (0.0174-0.0619),0.9193 (0.8872-0.9477)
HVAP,0.048 (0.0148-0.0963),0.076 (0.0297-0.1346),0.0639 (0.0218-0.1319),0.8122 (0.7216-0.8851)
OVAP,0.0652 (0.0239-0.1194),0.078 (0.0307-0.1253),0.089 (0.0281-0.1671),0.7678 (0.6693-0.8606)
