race,PRES12D,PRES12R,PRES12None
WVAP,0.1602 (0.1388-0.1818),0.3859 (0.3776-0.3916),0.4539 (0.4325-0.4749)
OVAP,0.4501 (0.3566-0.5507),0.0336 (0.0095-0.0731),0.5164 (0.4158-0.6122)
