race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0562 (0.0499-0.0616),0.0081 (0.004-0.0127),0.9357 (0.9286-0.9427)
BVAP,0.034 (0.0108-0.067),0.1346 (0.091-0.1779),0.8313 (0.7791-0.8814)
HVAP,0.0888 (0.0232-0.1794),0.1276 (0.0353-0.2513),0.7836 (0.6344-0.9008)
OVAP,0.1194 (0.0435-0.2337),0.2122 (0.1011-0.3426),0.6684 (0.5046-0.8094)
