race,COMP14D,COMP14R,COMP14None
WVAP,0.1826 (0.1663-0.1986),0.2293 (0.2224-0.234),0.5881 (0.5719-0.605)
OVAP,0.1609 (0.0927-0.237),0.0302 (0.0101-0.0643),0.8089 (0.7303-0.8798)
