race,EL16G_US_1,EL16G_USS_,SEN16Turnout
BVAP,0.9549 (0.9469-0.962),0.0451 (0.038-0.0531),0.5954 (0.577-0.614)
OVAP,0.3666 (0.3613-0.3722),0.6334 (0.6278-0.6387),0.6191 (0.614-0.6243)
