race,EL12G_PR_D,EL12G_PR_R,PRES12Turnout
BVAP,0.9808 (0.977-0.984),0.0192 (0.016-0.023),0.6482 (0.6342-0.6623)
OVAP,0.3662 (0.3617-0.3705),0.6338 (0.6295-0.6383),0.5894 (0.5854-0.5935)
