race,EL12G_GV_D,EL12G_GV_R,GOV12Turnout
BVAP,0.9824 (0.979-0.9853),0.0176 (0.0147-0.021),0.6399 (0.6267-0.6524)
OVAP,0.3 (0.2958-0.3045),0.7 (0.6955-0.7042),0.5797 (0.5761-0.5834)
