race,EL14G_US_1,EL14G_USS_,SEN14Turnout
BVAP,0.9812 (0.9776-0.9845),0.0188 (0.0155-0.0224),0.3587 (0.3482-0.3689)
OVAP,0.3882 (0.3833-0.393),0.6118 (0.607-0.6167),0.3805 (0.3776-0.3836)
