race,EL16G_US_1,EL16G_USS_,SEN16Turnout
BVAP,0.9455 (0.9372-0.9529),0.0545 (0.0471-0.0628),0.553 (0.5373-0.5725)
WVAP,0.3211 (0.3137-0.328),0.6789 (0.672-0.6863),0.6494 (0.6429-0.6548)
HVAP,0.7216 (0.6578-0.7829),0.2784 (0.2171-0.3422),0.4496 (0.3903-0.4972)
OVAP,0.8462 (0.8137-0.8834),0.1538 (0.1166-0.1863),0.7796 (0.7465-0.8185)
