race,EL16G_GV_D,EL16G_GV_R,GOV16Turnout
BVAP,0.9436 (0.9341-0.9525),0.0564 (0.0475-0.0659),0.5752 (0.554-0.5948)
OVAP,0.4121 (0.4069-0.4172),0.5879 (0.5828-0.5931),0.6414 (0.6358-0.6472)
