race,EL16G_PR_D,EL16G_PR_R,PRES16Turnout
BVAP,0.9595 (0.9518-0.966),0.0405 (0.034-0.0482),0.6011 (0.5835-0.6194)
OVAP,0.3785 (0.3733-0.3835),0.6215 (0.6165-0.6267),0.6204 (0.6153-0.6254)
