,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
199,Washington,2206,Washington Precinct 09-000,2147,122,3,59,2206,1,0.9732547597461468,0.02674524025385313,2081,0.05530371713508613,0.0013599274705349048,0.943336355394379
241,Washington,2643,Washington Precinct 05-000,2584,78,1,59,2643,1,0.9776768823306848,0.022323117669315173,2564,0.029511918274687854,0.00037835792659856227,0.9701097237987136
243,Washington,1589,Washington Precinct 15-000,1563,41,1,26,1589,1,0.9836375078665828,0.016362492133417242,1547,0.025802391441157962,0.0006293266205160479,0.973568281938326
244,Washington,2398,Washington Precinct 04-000,2339,100,3,59,2398,1,0.9753961634695579,0.024603836530442035,2295,0.041701417848206836,0.0012510425354462051,0.9570475396163469
245,Washington,563,Washington Precinct 11-002,546,36,1,17,563,1,0.9698046181172292,0.03019538188277087,526,0.06394316163410302,0.0017761989342806395,0.9342806394316163
246,Washington,2586,Washington Precinct 01-000,2492,153,1,94,2586,1,0.9636504253673627,0.03634957463263728,2432,0.05916473317865429,0.0003866976024748647,0.9404485692188709
247,Washington,1721,Washington Precinct 20-000,1673,75,2,48,1721,1,0.9721092388146426,0.02789076118535735,1644,0.04357931435212086,0.0011621150493898896,0.9552585705984893
248,Washington,6302,Washington Precinct 12-000,3018,95,1,3284,6302,1,0.4788955887019994,0.5211044112980007,6206,0.015074579498571881,0.00015867978419549348,0.9847667407172326
249,Washington,929,Washington Precinct 11-001,892,63,2,37,929,1,0.9601722282023681,0.03982777179763186,864,0.06781485468245425,0.002152852529601722,0.930032292787944
1804,Washington,1117,Washington Precinct 24-001,918,20,0,199,1117,1,0.8218442256042973,0.17815577439570277,1097,0.017905102954341987,0.0,0.982094897045658
1805,Washington,5439,Washington Precinct 17-001,4429,65,2,1010,5439,1,0.8143041000183857,0.18569589998161426,5372,0.011950726236440522,0.00036771465342893915,0.9876815591101306
