,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,ASIANVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,ASIANVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1151,025,3444,"WARD 14, PRECINCT 1",87,1618,1333,59,23,88,278,69,347,3444,1,0.025261324041811847,0.46980255516840885,0.3870499419279907,0.01713124274099884,0.10075493612078978,2986,0.006678281068524971,0.025551684088269456,0.08072009291521487,0.02003484320557491,0.8670150987224158
1152,025,1711,"WARD 16, PRECINCT 1",301,390,273,616,52,68,53,69,131,1711,1,0.17592051431911163,0.22793687901811807,0.15955581531268265,0.36002337814143776,0.07656341320864991,1469,0.030391583869082407,0.03974284044418469,0.030976037405026302,0.04032729398012858,0.858562244301578
1153,025,1930,"WARD 7, PRECINCT 8",1314,111,137,280,161,36,42,93,88,1930,1,0.6808290155440414,0.057512953367875645,0.07098445595854923,0.14507772020725387,0.04559585492227979,1598,0.08341968911917098,0.01865284974093264,0.021761658031088083,0.04818652849740933,0.827979274611399
1154,025,3036,"WARD 5, PRECINCT 2",1562,70,344,933,19,62,24,138,127,3036,1,0.5144927536231884,0.0230566534914361,0.11330698287220026,0.3073122529644269,0.04183135704874835,2793,0.006258234519104084,0.020421607378129116,0.007905138339920948,0.045454545454545456,0.9199604743083004
1155,025,2178,"WARD 1, PRECINCT 11",1036,29,961,64,170,21,48,130,88,2178,1,0.4756657483930211,0.013314967860422406,0.4412304866850321,0.02938475665748393,0.04040404040404041,1809,0.0780532598714417,0.009641873278236915,0.02203856749311295,0.05968778696051423,0.8305785123966942
1156,025,5971,"WARD 4, PRECINCT 10",4113,344,470,845,0,7,6,22,199,5971,1,0.6888293418187909,0.05761179031987942,0.07871378328588176,0.14151733377993636,0.03332775079551164,5936,0.0,0.0011723329425556857,0.0010048568079048736,0.0036844749623178696,0.9941383352872216
1157,025,1614,"WARD 17, PRECINCT 1",74,918,372,47,9,65,125,38,203,1614,1,0.04584882280049566,0.5687732342007435,0.23048327137546468,0.029120198265179677,0.12577447335811648,1377,0.0055762081784386614,0.040272614622057,0.07744733581164807,0.023543990086741014,0.8531598513011153
1158,025,3516,"WARD 22, PRECINCT 2",1722,222,521,825,65,64,46,277,226,3516,1,0.48976109215017066,0.06313993174061433,0.1481797497155859,0.23464163822525597,0.06427758816837315,3064,0.018486916951080772,0.01820250284414107,0.013083048919226393,0.07878270762229807,0.8714448236632537
1159,025,2014,"WARD 13, PRECINCT 7",1152,123,169,466,123,55,33,132,104,2014,1,0.5719960278053625,0.06107249255213505,0.08391261171797418,0.2313803376365442,0.05163853028798411,1671,0.06107249255213505,0.02730883813306852,0.01638530287984111,0.06554121151936444,0.8296921549155909
1160,025,938,"WARD 19, PRECINCT 8",760,29,52,59,33,152,36,188,38,938,1,0.8102345415778252,0.03091684434968017,0.05543710021321962,0.0628997867803838,0.04051172707889126,529,0.035181236673773986,0.16204690831556504,0.03837953091684435,0.20042643923240938,0.5639658848614072
