,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1172,025,2571,"WARD 16, PRECINCT 6",657,708,270,110,100,98,110,936,2571,1,0.2555425904317386,0.27537922987164526,0.10501750291715285,0.36406067677946324,2153,0.04278490859587709,0.038895371450797356,0.03811746402178141,0.04278490859587709,0.8374173473356671
1173,025,3310,"WARD 14, PRECINCT 2",121,2005,803,19,129,265,61,381,3310,1,0.036555891238670694,0.6057401812688822,0.24259818731117824,0.11510574018126889,2836,0.005740181268882176,0.03897280966767372,0.08006042296072508,0.018429003021148038,0.856797583081571
1174,025,1652,"WARD 18, PRECINCT 9",760,413,372,113,108,104,224,107,1652,1,0.4600484261501211,0.25,0.22518159806295399,0.06476997578692494,1103,0.06840193704600485,0.06537530266343826,0.06295399515738499,0.13559322033898305,0.6676755447941889
1175,025,2290,"WARD 2, PRECINCT 6",1826,44,107,287,118,38,208,313,2290,1,0.7973799126637554,0.01921397379912664,0.046724890829694325,0.13668122270742358,1639,0.12532751091703057,0.05152838427947598,0.016593886462882096,0.09082969432314411,0.7157205240174672
1176,025,2595,"WARD 9, PRECINCT 5",501,1153,551,22,105,324,133,390,2595,1,0.1930635838150289,0.4443159922928709,0.21233140655105973,0.15028901734104047,2011,0.008477842003853564,0.04046242774566474,0.12485549132947976,0.051252408477842,0.77495183044316
1177,025,2057,"WARD 19, PRECINCT 10",946,454,467,89,135,105,361,190,2057,1,0.45989304812834225,0.22070977151191054,0.22702965483714146,0.09236752552260574,1367,0.04326689353427322,0.06562955760816723,0.05104521147301896,0.1754982984929509,0.6645600388915897
1178,025,2087,"WARD 22, PRECINCT 10",1540,79,167,74,55,45,207,301,2087,1,0.7379012937230475,0.03785337805462386,0.08001916626736943,0.14422616195495927,1706,0.03545759463344514,0.02635361763296598,0.02156205079060853,0.09918543363679923,0.8174413033061811
1179,025,3468,"WARD 4, PRECINCT 6",1904,244,346,26,42,53,96,974,3468,1,0.5490196078431373,0.07035755478662054,0.09976931949250288,0.2808535178777393,3251,0.007497116493656286,0.012110726643598616,0.015282583621683967,0.02768166089965398,0.9374279123414071
1180,025,1608,"WARD 12, PRECINCT 4",139,921,436,14,55,148,57,112,1608,1,0.08644278606965174,0.5727611940298507,0.27114427860696516,0.06965174129353234,1334,0.008706467661691543,0.034203980099502485,0.09203980099502487,0.03544776119402985,0.8296019900497512
1181,025,791,"WARD 8, PRECINCT 6",110,153,191,12,23,15,27,337,791,1,0.1390644753476612,0.1934260429835651,0.24146649810366624,0.42604298356510745,714,0.015170670037926675,0.029077117572692796,0.018963337547408345,0.03413400758533502,0.9026548672566371
1182,025,1683,"WARD 22, PRECINCT 6",1060,28,167,48,47,20,110,428,1683,1,0.6298276886512181,0.016636957813428402,0.0992275698158051,0.25430778371954843,1458,0.0285204991087344,0.027926322043969103,0.011883541295306001,0.06535947712418301,0.8663101604278075
1183,025,2087,"WARD 4, PRECINCT 1",1641,80,148,76,178,44,263,218,2087,1,0.7862961188308577,0.03833253473885961,0.07091518926689028,0.10445615716339243,1526,0.03641590800191662,0.08528988979396263,0.021082894106372783,0.12601820795400095,0.731193100143747
1184,025,1421,"WARD 13, PRECINCT 4",117,622,432,9,49,84,33,250,1421,1,0.08233638282899367,0.43771991555242784,0.3040112596762843,0.17593244194229415,1246,0.0063335679099225895,0.034482758620689655,0.059113300492610835,0.02322308233638283,0.8768472906403941
