,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,94,57,15,3,46,1746,1760,1,0.007954545454545454,0.9920454545454546,1545,0.053409090909090906,0.03238636363636364,0.008522727272727272,0.0017045454545454545,0.026136363636363635,0.8778409090909091
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,135,78,10,3,36,1940,1950,1,0.005128205128205128,0.9948717948717949,1688,0.06923076923076923,0.04,0.005128205128205128,0.0015384615384615385,0.018461538461538463,0.8656410256410256
820,Baltimore City,240,Baltimore City Precinct 20-004,4,24,15,0,1,6,236,240,1,0.016666666666666666,0.9833333333333333,194,0.1,0.0625,0.0,0.004166666666666667,0.025,0.8083333333333333
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,69,41,6,1,20,1471,1495,1,0.016053511705685617,0.9839464882943144,1358,0.046153846153846156,0.0274247491638796,0.004013377926421404,0.0006688963210702341,0.013377926421404682,0.9083612040133779
822,Baltimore City,901,Baltimore City Precinct 26-031,516,53,41,12,1,22,385,901,1,0.5726970033296337,0.42730299667036625,772,0.058823529411764705,0.04550499445061043,0.013318534961154272,0.0011098779134295228,0.0244173140954495,0.8568257491675916
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,161,187,31,11,71,1527,2719,1,0.4383964692901802,0.5616035307098198,2258,0.05921294593600589,0.0687752850312615,0.01140125045972784,0.004045605001838912,0.0261125413755057,0.8304523721956601
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,188,124,46,18,65,982,2670,1,0.6322097378277154,0.36779026217228467,2229,0.07041198501872659,0.04644194756554307,0.017228464419475654,0.006741573033707865,0.024344569288389514,0.8348314606741573
828,Baltimore City,842,Baltimore City Precinct 27-010,645,52,39,12,4,21,197,842,1,0.7660332541567696,0.2339667458432304,714,0.06175771971496437,0.04631828978622328,0.014251781472684086,0.004750593824228029,0.02494061757719715,0.8479809976247031
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,77,30,17,8,28,908,1038,1,0.1252408477842004,0.8747591522157996,878,0.07418111753371869,0.028901734104046242,0.016377649325626204,0.007707129094412331,0.02697495183044316,0.8458574181117534
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,269,45,41,29,84,730,1718,1,0.5750873108265425,0.42491268917345754,1250,0.15657741559953434,0.02619324796274738,0.023864959254947613,0.016880093131548313,0.048894062863795114,0.7275902211874272
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,155,42,21,14,44,1534,1916,1,0.19937369519832984,0.8006263048016702,1640,0.08089770354906055,0.021920668058455117,0.010960334029227558,0.007306889352818371,0.022964509394572025,0.8559498956158664
882,Baltimore City,1139,Baltimore City Precinct 25-011,672,36,11,8,1,13,467,1139,1,0.5899912203687445,0.4100087796312555,1070,0.03160667251975417,0.009657594381035996,0.007023705004389816,0.000877963125548727,0.01141352063213345,0.9394205443371378
883,Baltimore City,2273,Baltimore City Precinct 25-012,1279,43,25,12,4,25,994,2273,1,0.5626924769027717,0.4373075230972283,2164,0.01891772987241531,0.010998680158380994,0.005279366476022877,0.0017597888253409592,0.010998680158380994,0.9520457545094588
884,Baltimore City,1483,Baltimore City Precinct 25-014,468,34,11,7,4,20,1015,1483,1,0.3155765340525961,0.6844234659474039,1407,0.022926500337154418,0.007417397167902899,0.004720161834120027,0.0026972353337828725,0.013486176668914362,0.9487525286581254
885,Baltimore City,1262,Baltimore City Precinct 25-013,750,36,13,4,0,14,512,1262,1,0.5942947702060222,0.40570522979397783,1195,0.028526148969889066,0.010301109350237718,0.003169572107765452,0.0,0.011093502377179081,0.9469096671949286
886,Baltimore City,1628,Baltimore City Precinct 25-015,701,42,23,10,3,13,927,1628,1,0.4305896805896806,0.5694103194103194,1537,0.025798525798525797,0.014127764127764128,0.006142506142506142,0.0018427518427518428,0.007985257985257985,0.9441031941031941
887,Baltimore City,2415,Baltimore City Precinct 25-016,1616,52,24,11,4,18,799,2415,1,0.6691511387163561,0.3308488612836439,2306,0.021532091097308487,0.009937888198757764,0.004554865424430642,0.0016563146997929607,0.007453416149068323,0.9548654244306418
888,Baltimore City,2673,Baltimore City Precinct 24-004,2448,217,58,72,36,108,225,2673,1,0.9158249158249159,0.08417508417508418,2182,0.08118219229330341,0.021698466142910586,0.026936026936026935,0.013468013468013467,0.04040404040404041,0.8163112607557051
889,Baltimore City,878,Baltimore City Precinct 24-002,775,64,22,27,13,46,103,878,1,0.8826879271070615,0.11731207289293849,706,0.07289293849658314,0.025056947608200455,0.030751708428246014,0.014806378132118452,0.05239179954441914,0.8041002277904328
890,Baltimore City,722,Baltimore City Precinct 24-001,632,61,37,27,9,39,90,722,1,0.8753462603878116,0.12465373961218837,549,0.08448753462603878,0.05124653739612189,0.037396121883656507,0.012465373961218837,0.054016620498614956,0.760387811634349
891,Baltimore City,1728,Baltimore City Precinct 24-003,1531,158,66,52,16,99,197,1728,1,0.8859953703703703,0.11400462962962964,1337,0.09143518518518519,0.03819444444444445,0.03009259259259259,0.009259259259259259,0.057291666666666664,0.7737268518518519
892,Baltimore City,1994,Baltimore City Precinct 03-003,1421,129,44,30,14,61,573,1994,1,0.7126379137412236,0.28736208625877635,1716,0.06469408224674023,0.022066198595787363,0.015045135406218655,0.007021063189568706,0.030591775325977934,0.8605817452357071
893,Baltimore City,3017,Baltimore City Precinct 24-005,2786,270,105,118,35,165,231,3017,1,0.9234338747099768,0.0765661252900232,2324,0.08949287371561153,0.03480278422273782,0.0391117003646006,0.01160092807424594,0.05469008949287372,0.7703016241299304
894,Baltimore City,2635,Baltimore City Precinct 02-003,2167,224,71,53,20,94,468,2635,1,0.8223908918406072,0.1776091081593928,2173,0.08500948766603415,0.026944971537001896,0.020113851992409868,0.007590132827324478,0.03567362428842505,0.8246679316888046
895,Baltimore City,2074,Baltimore City Precinct 02-002,1402,181,48,44,18,60,672,2074,1,0.6759884281581485,0.3240115718418515,1723,0.08727097396335583,0.023143683702989394,0.021215043394406944,0.008678881388621022,0.02892960462873674,0.8307618129218901
896,Baltimore City,2117,Baltimore City Precinct 01-002,1706,214,57,60,28,83,411,2117,1,0.8058573452999528,0.19414265470004724,1675,0.10108644307982995,0.0269248937175248,0.02834199338686821,0.013226263580538498,0.03920642418516769,0.7912139820500709
897,Baltimore City,1947,Baltimore City Precinct 01-003,1710,119,42,39,12,53,237,1947,1,0.8782742681047766,0.12172573189522343,1682,0.06111967128916281,0.02157164869029276,0.020030816640986132,0.0061633281972265025,0.027221366204417053,0.8638931689779148
