,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
805,Baltimore City,3265,Baltimore City Precinct 25-005,822,117,54,77,2443,3265,1,0.2517611026033691,0.748238897396631,3017,0.035834609494640124,0.01653905053598775,0.02358346094946401,0.9240428790199081
807,Baltimore City,2660,Baltimore City Precinct 25-008,74,105,50,80,2586,2660,1,0.027819548872180452,0.9721804511278196,2425,0.039473684210526314,0.018796992481203006,0.03007518796992481,0.9116541353383458
808,Baltimore City,1089,Baltimore City Precinct 25-009,9,80,39,61,1080,1089,1,0.008264462809917356,0.9917355371900827,909,0.07346189164370982,0.03581267217630854,0.05601469237832874,0.8347107438016529
809,Baltimore City,1595,Baltimore City Precinct 25-010,46,88,40,88,1549,1595,1,0.02884012539184953,0.9711598746081505,1379,0.05517241379310345,0.025078369905956112,0.05517241379310345,0.864576802507837
810,Baltimore City,3555,Baltimore City Precinct 25-003,2570,114,25,67,985,3555,1,0.7229254571026723,0.2770745428973277,3349,0.032067510548523206,0.007032348804500703,0.018846694796061884,0.9420534458509142
811,Baltimore City,929,Baltimore City Precinct 20-009,527,21,17,30,402,929,1,0.5672766415500539,0.4327233584499462,861,0.022604951560818085,0.01829924650161464,0.03229278794402583,0.9268030139935415
812,Baltimore City,1049,Baltimore City Precinct 20-005,28,59,39,63,1021,1049,1,0.02669208770257388,0.9733079122974261,888,0.05624404194470925,0.037178265014299335,0.06005719733079123,0.8465204957102002
813,Baltimore City,3568,Baltimore City Precinct 25-004,2774,119,24,59,794,3568,1,0.7774663677130045,0.22253363228699552,3366,0.03335201793721973,0.006726457399103139,0.016535874439461883,0.9433856502242153
814,Baltimore City,756,Baltimore City Precinct 20-010,333,19,13,13,423,756,1,0.44047619047619047,0.5595238095238095,711,0.02513227513227513,0.017195767195767195,0.017195767195767195,0.9404761904761905
815,Baltimore City,2322,Baltimore City Precinct 20-003,54,102,52,95,2268,2322,1,0.023255813953488372,0.9767441860465116,2073,0.04392764857881137,0.02239448751076658,0.0409130060292851,0.8927648578811369
816,Baltimore City,2303,Baltimore City Precinct 20-011,848,41,17,43,1455,2303,1,0.36821537125488496,0.6317846287451151,2202,0.017802865827181935,0.007381676074685193,0.018671298306556665,0.9561441597915762
817,Baltimore City,950,Baltimore City Precinct 20-002,70,35,18,29,880,950,1,0.07368421052631578,0.9263157894736842,868,0.03684210526315789,0.018947368421052633,0.030526315789473683,0.9136842105263158
818,Baltimore City,1760,Baltimore City Precinct 16-013,14,80,46,85,1746,1760,1,0.007954545454545454,0.9920454545454546,1549,0.045454545454545456,0.026136363636363635,0.048295454545454544,0.8801136363636364
819,Baltimore City,1950,Baltimore City Precinct 16-012,10,112,65,87,1940,1950,1,0.005128205128205128,0.9948717948717949,1686,0.057435897435897436,0.03333333333333333,0.04461538461538461,0.8646153846153846
820,Baltimore City,240,Baltimore City Precinct 20-004,4,18,10,13,236,240,1,0.016666666666666666,0.9833333333333333,199,0.075,0.041666666666666664,0.05416666666666667,0.8291666666666667
821,Baltimore City,1495,Baltimore City Precinct 16-008,24,67,32,53,1471,1495,1,0.016053511705685617,0.9839464882943144,1343,0.044816053511705686,0.02140468227424749,0.03545150501672241,0.8983277591973244
822,Baltimore City,901,Baltimore City Precinct 26-031,516,52,20,37,385,901,1,0.5726970033296337,0.42730299667036625,792,0.05771365149833518,0.022197558268590455,0.041065482796892344,0.8790233074361821
826,Baltimore City,2719,Baltimore City Precinct 27-008,1192,173,82,133,1527,2719,1,0.4383964692901802,0.5616035307098198,2331,0.06362633321073924,0.03015814637734461,0.04891504229496138,0.8573004781169548
827,Baltimore City,2670,Baltimore City Precinct 27-011,1688,178,80,128,982,2670,1,0.6322097378277154,0.36779026217228467,2284,0.06666666666666667,0.0299625468164794,0.04794007490636704,0.8554307116104869
828,Baltimore City,842,Baltimore City Precinct 27-010,645,51,24,41,197,842,1,0.7660332541567696,0.2339667458432304,726,0.060570071258907364,0.028503562945368172,0.048693586698337295,0.8622327790973872
876,Baltimore City,1038,Baltimore City Precinct 12-011,130,58,27,53,908,1038,1,0.1252408477842004,0.8747591522157996,900,0.055876685934489405,0.02601156069364162,0.051059730250481696,0.8670520231213873
877,Baltimore City,1718,Baltimore City Precinct 12-008,988,178,52,75,730,1718,1,0.5750873108265425,0.42491268917345754,1413,0.10360884749708964,0.030267753201396973,0.043655413271245634,0.8224679860302677
878,Baltimore City,1916,Baltimore City Precinct 12-010,382,89,51,94,1534,1916,1,0.19937369519832984,0.8006263048016702,1682,0.04645093945720251,0.02661795407098121,0.049060542797494784,0.8778705636743215
