,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
482,Prince George's,3439,Prince George's Precinct 11-003,484,2423,143,2955,3439,1.0,0.14073858679848794,0.8592614132015121,873,0.704565280604827,0.04158185519046234,0.25385286420471065
483,Prince George's,2108,Prince George's Precinct 15-003,209,1585,89,1899,2108,1.0,0.099146110056926,0.900853889943074,434,0.7518975332068312,0.04222011385199241,0.20588235294117646
484,Prince George's,1177,Prince George's Precinct 01-007,700,857,319,477,1177,1.7764350453172206,0.594732370433305,0.405267629566695,1,0.7281223449447749,0.27102803738317754,0.0008496176720475786
485,Prince George's,2108,Prince George's Precinct 06-014,231,1038,58,1877,2108,1.0,0.10958254269449716,0.8904174573055028,1012,0.49240986717267554,0.027514231499051234,0.48007590132827327
486,Prince George's,1176,Prince George's Precinct 06-002,134,894,55,1042,1176,1.0,0.11394557823129252,0.8860544217687075,227,0.7602040816326531,0.0467687074829932,0.19302721088435373
487,Prince George's,2560,Prince George's Precinct 06-013,365,1774,148,2195,2560,1.0,0.142578125,0.857421875,638,0.69296875,0.0578125,0.24921875
488,Prince George's,3164,Prince George's Precinct 06-024,123,1327,12,3041,3164,1.0,0.0388748419721871,0.9611251580278128,1825,0.4194058154235145,0.0037926675094816687,0.5768015170670038
489,Prince George's,3700,Prince George's Precinct 06-015,61,2233,25,3639,3700,1.0,0.016486486486486488,0.9835135135135135,1442,0.6035135135135136,0.006756756756756757,0.38972972972972975
490,Prince George's,576,Prince George's Precinct 06-021,41,420,9,535,576,1.0,0.07118055555555555,0.9288194444444444,147,0.7291666666666666,0.015625,0.2552083333333333
491,Prince George's,4119,Prince George's Precinct 06-004,104,2146,38,4015,4119,1.0,0.02524884680747754,0.9747511531925225,1935,0.5210002427773731,0.009225540179655257,0.4697742170429716
492,Prince George's,4084,Prince George's Precinct 06-022,93,2280,38,3991,4084,1.0,0.02277179236043095,0.9772282076395691,1766,0.5582761998041136,0.00930460333006856,0.4324191968658178
493,Prince George's,3744,Prince George's Precinct 06-006,97,1925,37,3647,3744,1.0,0.02590811965811966,0.9740918803418803,1782,0.5141559829059829,0.009882478632478632,0.47596153846153844
494,Prince George's,2295,Prince George's Precinct 06-018,268,1431,79,2027,2295,1.0,0.11677559912854031,0.8832244008714597,785,0.6235294117647059,0.03442265795206972,0.3420479302832244
495,Prince George's,4108,Prince George's Precinct 06-007,492,2698,119,3616,4108,1.0,0.11976630963972736,0.8802336903602727,1291,0.6567672833495618,0.028967867575462512,0.31426484907497565
496,Prince George's,1925,Prince George's Precinct 09-003,1159,138,57,766,1925,1.0,0.6020779220779221,0.3979220779220779,1730,0.07168831168831169,0.02961038961038961,0.8987012987012987
497,Prince George's,3624,Prince George's Precinct 06-016,134,1972,44,3490,3624,1.0,0.0369757174392936,0.9630242825607064,1608,0.5441501103752759,0.012141280353200883,0.44370860927152317
498,Prince George's,1985,Prince George's Precinct 06-005,102,1281,34,1883,1985,1.0,0.05138539042821159,0.9486146095717884,670,0.6453400503778337,0.01712846347607053,0.33753148614609574
499,Prince George's,3207,Prince George's Precinct 06-010,129,2205,38,3078,3207,1.0,0.040224508886810104,0.9597754911131899,964,0.6875584658559402,0.011849080137199874,0.30059245400686
500,Prince George's,2204,Prince George's Precinct 06-011,132,1696,43,2072,2204,1.0,0.05989110707803993,0.9401088929219601,465,0.7695099818511797,0.019509981851179675,0.21098003629764064
501,Prince George's,3824,Prince George's Precinct 06-001,272,2309,79,3552,3824,1.0,0.07112970711297072,0.9288702928870293,1436,0.6038179916317992,0.02065899581589958,0.37552301255230125
502,Prince George's,4367,Prince George's Precinct 06-003,124,2583,32,4243,4367,1.0,0.028394779024501948,0.9716052209754981,1752,0.5914815662926494,0.0073276849095488894,0.4011907487978017
503,Prince George's,2231,Prince George's Precinct 18-011,68,1274,29,2163,2231,1.0,0.03047960555804572,0.9695203944419543,928,0.5710443747198566,0.012998655311519497,0.4159569699686239
504,Prince George's,2252,Prince George's Precinct 18-004,81,1178,18,2171,2252,1.0,0.03596802841918295,0.9640319715808171,1056,0.5230905861456483,0.007992895204262877,0.4689165186500888
505,Prince George's,3235,Prince George's Precinct 18-001,86,2111,22,3149,3235,1.0,0.026584234930448224,0.9734157650695517,1102,0.6525502318392581,0.0068006182380216385,0.3406491499227203
506,Prince George's,1927,Prince George's Precinct 02-007,906,1290,264,1021,1927,1.0,0.4701608718214842,0.5298391281785159,373,0.6694343539180073,0.13700051894135962,0.19356512714063312
507,Prince George's,1859,Prince George's Precinct 18-005,22,1040,15,1837,1859,1.0,0.011834319526627219,0.9881656804733728,804,0.5594405594405595,0.008068854222700376,0.4324905863367402
508,Prince George's,2460,Prince George's Precinct 18-003,23,1447,15,2437,2460,1.0,0.00934959349593496,0.990650406504065,998,0.5882113821138212,0.006097560975609756,0.4056910569105691
