,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,113,200,70,216,3288,1,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,2905,0.034367396593673966,0.06082725060827251,0.021289537712895375,0.8835158150851582
405,Prince George's,2724,Prince George's Precinct 12-016,113,2335,185,49,144,50,91,2724,1,0.041483113069016156,0.8571953010279001,0.06791483113069016,0.03340675477239354,2481,0.017988252569750368,0.05286343612334802,0.018355359765051395,0.9107929515418502
406,Prince George's,3144,Prince George's Precinct 12-003,178,2672,156,68,182,68,138,3144,1,0.056615776081424936,0.8498727735368957,0.04961832061068702,0.04389312977099236,2826,0.021628498727735368,0.05788804071246819,0.021628498727735368,0.898854961832061
407,Prince George's,1980,Prince George's Precinct 12-007,69,1759,91,56,177,77,61,1980,1,0.03484848484848485,0.8883838383838384,0.04595959595959596,0.03080808080808081,1670,0.028282828282828285,0.0893939393939394,0.03888888888888889,0.8434343434343434
408,Prince George's,1110,Prince George's Precinct 12-017,127,920,20,18,41,29,43,1110,1,0.11441441441441441,0.8288288288288288,0.018018018018018018,0.03873873873873874,1022,0.016216216216216217,0.036936936936936934,0.026126126126126126,0.9207207207207208
409,Prince George's,3753,Prince George's Precinct 12-013,94,3516,77,146,277,134,66,3753,1,0.025046629363176125,0.9368505195843325,0.02051691979749534,0.017585931254996003,3196,0.038902211564082065,0.0738076205702105,0.035704769517719157,0.8515853983479883
410,Prince George's,2131,Prince George's Precinct 06-008,57,1967,67,81,186,68,40,2131,1,0.02674800563115908,0.9230408259033318,0.03144063819802909,0.018770530267480056,1796,0.038010323791647115,0.08728296574378226,0.031909901454716096,0.8427968090098545
411,Prince George's,4750,Prince George's Precinct 06-017,139,4336,177,127,268,115,98,4750,1,0.02926315789473684,0.9128421052631579,0.037263157894736845,0.02063157894736842,4240,0.02673684210526316,0.05642105263157895,0.024210526315789474,0.8926315789473684
412,Prince George's,2691,Prince George's Precinct 06-009,88,2440,88,98,148,66,75,2691,1,0.032701597918989224,0.9067261241174285,0.032701597918989224,0.027870680044593088,2379,0.03641768859160163,0.054998141954663696,0.024526198439241916,0.8840579710144928
413,Prince George's,2205,Prince George's Precinct 06-012,55,2031,62,61,134,55,57,2205,1,0.024943310657596373,0.9210884353741496,0.028117913832199547,0.02585034013605442,1955,0.027664399092970523,0.060770975056689346,0.024943310657596373,0.8866213151927438
452,Prince George's,2194,Prince George's Precinct 12-008,175,1753,177,93,182,80,89,2194,1,0.07976298997265269,0.7989972652689152,0.08067456700091158,0.04056517775752051,1839,0.04238833181403829,0.0829535095715588,0.03646308113035551,0.8381950774840474
453,Prince George's,2657,Prince George's Precinct 12-015,108,2244,184,136,218,111,121,2657,1,0.04064734663153933,0.8445615355664283,0.06925103500188182,0.045540082800150546,2192,0.05118554761008656,0.08204742190440346,0.04177643959352653,0.8249905908919835
470,Prince George's,3323,Prince George's Precinct 09-007,221,2830,139,333,239,127,133,3323,1,0.06650616912428528,0.8516400842612097,0.041829671983147756,0.04002407463135721,2624,0.10021065302437557,0.07192296117965694,0.038218477279566655,0.7896479085164009
471,Prince George's,2034,Prince George's Precinct 09-004,273,1568,114,195,121,85,79,2034,1,0.13421828908554573,0.7708947885939036,0.05604719764011799,0.03883972468043265,1633,0.09587020648967552,0.059488692232055065,0.04178957718780728,0.8028515240904621
472,Prince George's,3032,Prince George's Precinct 09-005,266,2338,248,131,287,112,180,3032,1,0.08773087071240106,0.771108179419525,0.08179419525065963,0.059366754617414245,2502,0.04320580474934037,0.09465699208443272,0.036939313984168866,0.825197889182058
473,Prince George's,3691,Prince George's Precinct 09-001,425,2903,169,144,458,143,194,3691,1,0.11514494716878895,0.7865077214846925,0.04578704958005961,0.05256028176645895,2946,0.039013817393660256,0.12408561365483609,0.03874288810620428,0.7981576808452994
474,Prince George's,2377,Prince George's Precinct 09-010,356,1758,129,91,269,87,134,2377,1,0.14976861590239798,0.7395877156079091,0.05427008834665545,0.05637358014303744,1930,0.03828355069415229,0.11316785864535128,0.036600757257046694,0.8119478334034498
475,Prince George's,3501,Prince George's Precinct 09-002,398,2796,163,51,164,60,144,3501,1,0.11368180519851472,0.7986289631533847,0.04655812624964296,0.04113110539845758,3226,0.01456726649528706,0.046843758926021134,0.01713796058269066,0.9214510139960012
476,Prince George's,4703,Prince George's Precinct 09-008,452,3857,186,373,319,221,208,4703,1,0.09610886668084201,0.8201148203274505,0.03954922389963853,0.04422708909206889,3790,0.07931107803529662,0.06782904529024027,0.046991282160323194,0.80586859451414
477,Prince George's,2747,Prince George's Precinct 09-006,357,2124,147,131,397,140,119,2747,1,0.12995995631598106,0.7732071350564252,0.05351292318893338,0.043319985438660356,2079,0.04768838733163451,0.14452129595922825,0.050964688751365124,0.7568256279577721
478,Prince George's,2862,Prince George's Precinct 11-004,854,1799,71,233,236,123,138,2862,1,0.2983927323549965,0.6285814116002795,0.02480782669461915,0.04821802935010482,2270,0.0814116002795248,0.08245981830887492,0.0429769392033543,0.793151642208246
