,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
482,Prince George's,3439,Prince George's Precinct 11-003,484,1682,561,2955,3439,1.0,0.14073858679848794,0.8592614132015121,1196,0.48909566734515847,0.1631288165164292,0.34777551613841234
483,Prince George's,2108,Prince George's Precinct 15-003,209,1094,312,1899,2108,1.0,0.099146110056926,0.900853889943074,702,0.5189753320683111,0.14800759013282733,0.33301707779886147
484,Prince George's,1192,Prince George's Precinct 01-007,709,561,630,483,1192,1.799093655589124,0.5947986577181208,0.4052013422818792,1,0.47063758389261745,0.5285234899328859,0.0008389261744966443
485,Prince George's,2108,Prince George's Precinct 06-014,231,562,183,1877,2108,1.0,0.10958254269449716,0.8904174573055028,1363,0.2666034155597723,0.08681214421252371,0.646584440227704
486,Prince George's,1176,Prince George's Precinct 06-002,134,561,165,1042,1176,1.0,0.11394557823129252,0.8860544217687075,450,0.4770408163265306,0.14030612244897958,0.3826530612244898
487,Prince George's,2560,Prince George's Precinct 06-013,365,1054,390,2195,2560,1.0,0.142578125,0.857421875,1116,0.41171875,0.15234375,0.4359375
488,Prince George's,3164,Prince George's Precinct 06-024,123,775,167,3041,3164,1.0,0.0388748419721871,0.9611251580278128,2222,0.24494310998735777,0.052781289506953225,0.702275600505689
489,Prince George's,3700,Prince George's Precinct 06-015,61,1259,221,3639,3700,1.0,0.016486486486486488,0.9835135135135135,2220,0.3402702702702703,0.05972972972972973,0.6
490,Prince George's,576,Prince George's Precinct 06-021,41,238,62,535,576,1.0,0.07118055555555555,0.9288194444444444,276,0.4131944444444444,0.1076388888888889,0.4791666666666667
491,Prince George's,4119,Prince George's Precinct 06-004,104,1156,202,4015,4119,1.0,0.02524884680747754,0.9747511531925225,2761,0.28065064336003887,0.049041029376062154,0.670308327263899
