,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
475,Prince George's,3501,Prince George's Precinct 09-002,398,2796,163,1471,91,144,3501,1.0,0.11368180519851472,0.7986289631533847,0.04655812624964296,0.04113110539845758,1939,0.42016566695229934,0.025992573550414167,0.5538417594972865
476,Prince George's,4703,Prince George's Precinct 09-008,452,3857,186,2855,117,208,4703,1.0,0.09610886668084201,0.8201148203274505,0.03954922389963853,0.04422708909206889,1731,0.6070593238358495,0.024877737614288752,0.3680629385498618
477,Prince George's,2747,Prince George's Precinct 09-006,357,2124,147,2038,77,119,2747,1.0,0.12995995631598106,0.7732071350564252,0.05351292318893338,0.043319985438660356,632,0.7419002548234438,0.028030578813250818,0.23006916636330543
478,Prince George's,2959,Prince George's Precinct 11-004,883,1859,74,2714,242,143,2959,1.0328441649196367,0.298411625549172,0.6282527881040892,0.025008448800270363,0.048327137546468404,3,0.9172017573504563,0.08178438661710037,0.001013856032443393
479,Prince George's,2840,Prince George's Precinct 11-001,589,2020,123,1585,166,108,2840,1.0,0.2073943661971831,0.7112676056338029,0.043309859154929575,0.038028169014084505,1089,0.5580985915492958,0.05845070422535211,0.3834507042253521
480,Prince George's,4018,Prince George's Precinct 09-011,519,3105,204,1956,146,190,4018,1.0,0.12916874066699852,0.7727725236436038,0.0507715281234445,0.04728720756595321,1916,0.48680935788949725,0.03633648581383773,0.476854156296665
481,Prince George's,1565,Prince George's Precinct 09-009,577,815,107,732,89,66,1565,1.0,0.36869009584664536,0.5207667731629393,0.068370607028754,0.042172523961661344,744,0.46773162939297125,0.05686900958466454,0.47539936102236424
482,Prince George's,3439,Prince George's Precinct 11-003,484,2717,73,2188,120,165,3439,1.0,0.14073858679848794,0.7900552486187845,0.021227100901424833,0.047979063681302704,1131,0.6362314626344868,0.03489386449549287,0.32887467287002037
483,Prince George's,2108,Prince George's Precinct 15-003,209,1767,51,1390,65,81,2108,1.0,0.099146110056926,0.8382352941176471,0.024193548387096774,0.03842504743833017,653,0.6593927893738141,0.030834914611005692,0.30977229601518025
484,Prince George's,1022,Prince George's Precinct 01-007,607,278,93,832,187,44,1022,1.539274924471299,0.5939334637964775,0.2720156555772994,0.09099804305283757,0.043052837573385516,3,0.8140900195694716,0.18297455968688844,0.0029354207436399216
