,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
453,Prince George's,2657,Prince George's Precinct 12-015,108,2244,184,278,6,22,5,298,121,2657,1,0.04064734663153933,0.8445615355664283,0.06925103500188182,0.045540082800150546,2048,0.10462928114414753,0.002258185923974407,0.008280015054572827,0.001881821603312006,0.11215656755739556,0.7707941287165977
470,Prince George's,3323,Prince George's Precinct 09-007,221,2830,139,391,13,30,16,514,133,3323,1,0.06650616912428528,0.8516400842612097,0.041829671983147756,0.04002407463135721,2359,0.11766476075835089,0.003912127595546194,0.009027986758952753,0.004814926271441469,0.15467950647005718,0.7099006921456515
471,Prince George's,2034,Prince George's Precinct 09-004,273,1568,114,212,6,14,8,308,79,2034,1,0.13421828908554573,0.7708947885939036,0.05604719764011799,0.03883972468043265,1486,0.10422812192723697,0.0029498525073746312,0.00688298918387414,0.003933136676499509,0.15142576204523106,0.7305801376597837
472,Prince George's,3032,Prince George's Precinct 09-005,266,2338,248,275,8,25,4,340,180,3032,1,0.08773087071240106,0.771108179419525,0.08179419525065963,0.059366754617414245,2380,0.09069920844327177,0.002638522427440633,0.008245382585751979,0.0013192612137203166,0.11213720316622691,0.7849604221635884
473,Prince George's,3691,Prince George's Precinct 09-001,425,2903,169,384,13,33,15,485,194,3691,1,0.11514494716878895,0.7865077214846925,0.04578704958005961,0.05256028176645895,2761,0.10403684638309402,0.003522080736927662,0.008940666486047142,0.00406393931183961,0.13140070441614737,0.7480357626659442
474,Prince George's,2377,Prince George's Precinct 09-010,356,1758,129,244,10,24,9,298,134,2377,1,0.14976861590239798,0.7395877156079091,0.05427008834665545,0.05637358014303744,1792,0.10265039966344132,0.004206983592763988,0.010096760622633571,0.0037862852334875894,0.12536811106436685,0.7538914598233067
475,Prince George's,3501,Prince George's Precinct 09-002,398,2796,163,129,4,13,5,171,144,3501,1,0.11368180519851472,0.7986289631533847,0.04655812624964296,0.04113110539845758,3179,0.03684661525278492,0.0011425307055127106,0.0037132247929163096,0.0014281633818908884,0.04884318766066838,0.9080262782062268
476,Prince George's,4703,Prince George's Precinct 09-008,452,3857,186,612,15,48,18,706,208,4703,1,0.09610886668084201,0.8201148203274505,0.03954922389963853,0.04422708909206889,3304,0.13012970444397193,0.00318945354029343,0.010206251328938975,0.0038273442483521157,0.15011694662981076,0.7025302998086328
477,Prince George's,2747,Prince George's Precinct 09-006,357,2124,147,389,12,32,10,512,119,2747,1,0.12995995631598106,0.7732071350564252,0.05351292318893338,0.043319985438660356,1792,0.14160902803057882,0.004368401892974154,0.011649071714597743,0.0036403349108117948,0.18638514743356388,0.6523480160174736
478,Prince George's,2862,Prince George's Precinct 11-004,854,1799,71,484,14,36,19,590,138,2862,1,0.2983927323549965,0.6285814116002795,0.02480782669461915,0.04821802935010482,1719,0.16911250873515024,0.004891684136967156,0.012578616352201259,0.006638714185883997,0.20614954577218728,0.60062893081761
479,Prince George's,2840,Prince George's Precinct 11-001,589,2020,123,293,7,19,10,362,108,2840,1,0.2073943661971831,0.7112676056338029,0.043309859154929575,0.038028169014084505,2149,0.10316901408450704,0.0024647887323943664,0.006690140845070422,0.0035211267605633804,0.12746478873239436,0.7566901408450705
480,Prince George's,4018,Prince George's Precinct 09-011,519,3105,204,369,10,24,12,430,190,4018,1,0.12916874066699852,0.7727725236436038,0.0507715281234445,0.04728720756595321,3173,0.09183673469387756,0.0024888003982080635,0.005973120955699353,0.0029865604778496766,0.10701841712294674,0.7896963663514186
481,Prince George's,1565,Prince George's Precinct 09-009,577,815,107,142,4,16,2,167,66,1565,1,0.36869009584664536,0.5207667731629393,0.068370607028754,0.042172523961661344,1234,0.09073482428115016,0.0025559105431309905,0.010223642172523962,0.0012779552715654952,0.10670926517571885,0.7884984025559105
482,Prince George's,3439,Prince George's Precinct 11-003,484,2717,73,385,7,32,13,493,165,3439,1,0.14073858679848794,0.7900552486187845,0.021227100901424833,0.047979063681302704,2509,0.11195114858970631,0.002035475428903751,0.009305030532131433,0.003780168653678395,0.1433556266356499,0.7295725501599302
483,Prince George's,2108,Prince George's Precinct 15-003,209,1767,51,286,7,21,7,413,81,2108,1,0.099146110056926,0.8382352941176471,0.024193548387096774,0.03842504743833017,1374,0.13567362428842505,0.003320683111954459,0.009962049335863378,0.003320683111954459,0.1959203036053131,0.6518026565464896
484,Prince George's,662,Prince George's Precinct 01-007,394,180,60,134,7,10,29,262,28,662,1,0.595166163141994,0.2719033232628399,0.09063444108761329,0.04229607250755287,220,0.20241691842900303,0.010574018126888218,0.015105740181268883,0.04380664652567976,0.3957703927492447,0.3323262839879154
485,Prince George's,2108,Prince George's Precinct 06-014,231,1714,85,44,0,6,0,71,78,2108,1,0.10958254269449716,0.8130929791271347,0.04032258064516129,0.03700189753320683,1987,0.020872865275142316,0.0,0.0028462998102466793,0.0,0.033681214421252374,0.9425996204933587
486,Prince George's,1176,Prince George's Precinct 06-002,134,919,75,126,3,11,3,162,48,1176,1,0.11394557823129252,0.7814625850340136,0.06377551020408163,0.04081632653061224,871,0.10714285714285714,0.002551020408163265,0.00935374149659864,0.002551020408163265,0.1377551020408163,0.7406462585034014
487,Prince George's,2560,Prince George's Precinct 06-013,365,1929,147,269,9,26,8,310,119,2560,1,0.142578125,0.753515625,0.057421875,0.046484375,1938,0.105078125,0.003515625,0.01015625,0.003125,0.12109375,0.75703125
488,Prince George's,3164,Prince George's Precinct 06-024,123,2840,109,74,1,7,3,104,92,3164,1,0.0388748419721871,0.8975979772439949,0.034450063211125155,0.029077117572692796,2975,0.02338811630847029,0.0003160556257901391,0.0022123893805309734,0.0009481668773704172,0.03286978508217446,0.9402654867256637
489,Prince George's,3700,Prince George's Precinct 06-015,61,3457,107,199,7,16,7,288,75,3700,1,0.016486486486486488,0.9343243243243243,0.02891891891891892,0.02027027027027027,3183,0.05378378378378378,0.0018918918918918919,0.004324324324324324,0.0018918918918918919,0.07783783783783783,0.8602702702702703
490,Prince George's,576,Prince George's Precinct 06-021,41,457,52,45,0,3,1,77,26,576,1,0.07118055555555555,0.7934027777777778,0.09027777777777778,0.04513888888888889,450,0.078125,0.0,0.005208333333333333,0.001736111111111111,0.13368055555555555,0.78125
491,Prince George's,4119,Prince George's Precinct 06-004,104,3634,289,180,4,15,6,270,92,4119,1,0.02524884680747754,0.8822529740228211,0.07016266084000972,0.022335518329691672,3644,0.043699927166788055,0.0009711094925952901,0.003641660597232338,0.0014566642388929353,0.06554989075018208,0.8846807477543093
492,Prince George's,4084,Prince George's Precinct 06-022,93,3813,102,294,8,23,8,400,76,4084,1,0.02277179236043095,0.933643486777669,0.02497551420176298,0.01860920666013712,3351,0.07198824681684624,0.0019588638589618022,0.005631733594515181,0.0019588638589618022,0.0979431929480901,0.8205190989226249
493,Prince George's,3744,Prince George's Precinct 06-006,97,3372,186,201,8,16,8,251,89,3744,1,0.02590811965811966,0.9006410256410257,0.049679487179487176,0.02377136752136752,3260,0.05368589743589743,0.002136752136752137,0.004273504273504274,0.002136752136752137,0.06704059829059829,0.8707264957264957
494,Prince George's,2295,Prince George's Precinct 06-018,268,1636,263,197,4,15,3,218,128,2295,1,0.11677559912854031,0.7128540305010893,0.11459694989106754,0.05577342047930283,1858,0.08583877995642701,0.0017429193899782135,0.006535947712418301,0.00130718954248366,0.09498910675381264,0.8095860566448801
495,Prince George's,4108,Prince George's Precinct 06-007,492,3129,264,281,8,32,12,364,223,4108,1,0.11976630963972736,0.7616845180136319,0.06426484907497566,0.05428432327166505,3411,0.0684031158714703,0.0019474196689386564,0.007789678675754625,0.0029211295034079843,0.08860759493670886,0.8303310613437196
496,Prince George's,1925,Prince George's Precinct 09-003,1159,387,238,21,2,1,0,26,141,1925,1,0.6020779220779221,0.20103896103896104,0.12363636363636364,0.07324675324675324,1875,0.01090909090909091,0.001038961038961039,0.0005194805194805195,0.0,0.013506493506493506,0.974025974025974
497,Prince George's,3624,Prince George's Precinct 06-016,134,3200,157,220,4,13,4,277,133,3624,1,0.0369757174392936,0.8830022075055187,0.043322295805739514,0.036699779249448124,3106,0.06070640176600441,0.0011037527593818985,0.00358719646799117,0.0011037527593818985,0.07643487858719647,0.8570640176600441
498,Prince George's,1985,Prince George's Precinct 06-005,102,1774,60,141,8,10,3,235,49,1985,1,0.05138539042821159,0.8937027707808565,0.030226700251889168,0.02468513853904282,1588,0.07103274559193955,0.004030226700251889,0.005037783375314861,0.0015113350125944584,0.11838790931989925,0.8
499,Prince George's,3207,Prince George's Precinct 06-010,129,2843,141,229,7,14,5,264,94,3207,1,0.040224508886810104,0.8864982850015591,0.04396632366697849,0.029310882444652322,2688,0.07140629872154662,0.002182725288431556,0.004365450576863112,0.0015590894917368258,0.0823199251637044,0.8381665107577175
500,Prince George's,2204,Prince George's Precinct 06-011,132,1916,89,238,6,17,4,325,67,2204,1,0.05989110707803993,0.8693284936479129,0.04038112522686026,0.030399274047186932,1614,0.10798548094373865,0.0027223230490018148,0.007713248638838476,0.0018148820326678765,0.14745916515426497,0.7323049001814882
501,Prince George's,3824,Prince George's Precinct 06-001,272,3214,248,232,8,13,9,350,90,3824,1,0.07112970711297072,0.8404811715481172,0.06485355648535565,0.023535564853556484,3212,0.060669456066945605,0.0020920502092050207,0.003399581589958159,0.0023535564853556486,0.09152719665271966,0.8399581589958159
502,Prince George's,4367,Prince George's Precinct 06-003,124,3870,251,304,6,20,10,375,122,4367,1,0.028394779024501948,0.8861918937485688,0.0574765285092741,0.027936798717655142,3652,0.06961300664071444,0.0013739409205404168,0.004579803068468056,0.002289901534234028,0.08587130753377605,0.836272040302267
503,Prince George's,2231,Prince George's Precinct 18-011,68,2008,94,126,2,9,2,175,61,2231,1,0.03047960555804572,0.9000448229493501,0.0421335723890632,0.02734199910354101,1917,0.05647691618108472,0.0008964589870013447,0.004034065441506051,0.0008964589870013447,0.07844016136261767,0.8592559390407889
504,Prince George's,2252,Prince George's Precinct 18-004,81,2005,125,122,3,11,5,174,41,2252,1,0.03596802841918295,0.8903197158081705,0.05550621669626998,0.018206039076376555,1937,0.0541740674955595,0.0013321492007104796,0.004884547069271759,0.002220248667850799,0.07726465364120781,0.8601243339253997
505,Prince George's,3235,Prince George's Precinct 18-001,86,2932,151,238,5,35,9,311,66,3235,1,0.026584234930448224,0.9063369397217929,0.04667697063369397,0.020401854714064915,2637,0.07357032457496136,0.0015455950540958269,0.010819165378670788,0.0027820710973724882,0.09613601236476044,0.8151468315301391
506,Prince George's,1927,Prince George's Precinct 02-007,906,749,187,216,7,20,14,346,85,1927,1,0.4701608718214842,0.3886870783601453,0.09704203425012974,0.04411001556824079,1324,0.11209133367929423,0.0036325895173845357,0.010378827192527244,0.007265179034769071,0.17955371043072132,0.6870783601453035
507,Prince George's,1859,Prince George's Precinct 18-005,22,1622,171,83,5,7,4,145,44,1859,1,0.011834319526627219,0.8725121032813341,0.09198493813878429,0.023668639053254437,1615,0.04464766003227542,0.0026896180742334587,0.0037654653039268424,0.002151694459386767,0.07799892415277031,0.8687466379774073
508,Prince George's,2460,Prince George's Precinct 18-003,23,2209,148,86,4,11,5,174,80,2460,1,0.00934959349593496,0.8979674796747967,0.06016260162601626,0.032520325203252036,2180,0.034959349593495934,0.0016260162601626016,0.004471544715447155,0.0020325203252032522,0.07073170731707316,0.8861788617886179
509,Prince George's,158,Prince George's Precinct 18-012,5,136,17,8,0,0,0,23,0,158,1,0.03164556962025317,0.8607594936708861,0.10759493670886076,0.0,127,0.05063291139240506,0.0,0.0,0.0,0.14556962025316456,0.8037974683544303
510,Prince George's,3010,Prince George's Precinct 02-003,624,1960,300,197,6,27,19,437,126,3010,1,0.20730897009966778,0.6511627906976745,0.09966777408637874,0.04186046511627907,2324,0.06544850498338871,0.0019933554817275745,0.008970099667774087,0.006312292358803987,0.1451827242524917,0.772093023255814
511,Prince George's,1792,Prince George's Precinct 18-009,52,1585,118,197,3,21,4,274,37,1792,1,0.029017857142857144,0.8844866071428571,0.06584821428571429,0.020647321428571428,1293,0.10993303571428571,0.0016741071428571428,0.01171875,0.002232142857142857,0.15290178571428573,0.7215401785714286
512,Prince George's,2682,Prince George's Precinct 06-019,56,2506,62,174,4,16,3,224,58,2682,1,0.020879940343027592,0.9343773303504848,0.023117076808351976,0.02162565249813572,2261,0.06487695749440715,0.0014914243102162564,0.005965697240865026,0.0011185682326621924,0.08351976137211037,0.843027591349739
