,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
1421,Prince George's,2130,Prince George's Precinct 03-004,136,1432,65,1994,2130,1.0,0.06384976525821597,0.936150234741784,633,0.672300469483568,0.03051643192488263,0.2971830985915493
1422,Prince George's,2572,Prince George's Precinct 03-005,235,1232,57,2337,2572,1.0,0.09136858475894245,0.9086314152410575,1283,0.47900466562986005,0.022161741835147745,0.4988335925349922
1423,Prince George's,3339,Prince George's Precinct 03-003,367,3170,168,2972,3339,1.1108153078202996,0.1099131476489967,0.8900868523510033,1,0.9493860437256664,0.050314465408805034,0.0002994908655286014
1424,Prince George's,2643,Prince George's Precinct 07-012,84,1613,42,2559,2643,1.0,0.03178206583427923,0.9682179341657208,988,0.6102913356034809,0.015891032917139614,0.3738176314793795
1425,Prince George's,1936,Prince George's Precinct 13-013,57,1071,58,1879,1936,1.0,0.029442148760330578,0.9705578512396694,807,0.5532024793388429,0.029958677685950414,0.4168388429752066
1426,Prince George's,2052,Prince George's Precinct 07-013,142,1306,73,1910,2052,1.0,0.06920077972709551,0.9307992202729045,673,0.6364522417153996,0.03557504873294347,0.3279727095516569
1427,Prince George's,2806,Prince George's Precinct 03-006,90,1903,66,2716,2806,1.0,0.03207412687099073,0.9679258731290092,837,0.6781895937277262,0.023521026372059873,0.2982893799002138
1428,Prince George's,2583,Prince George's Precinct 07-015,80,1864,100,2503,2583,1.0,0.03097173828881146,0.9690282617111885,619,0.721641502129307,0.03871467286101433,0.23964382500967868
1429,Prince George's,3410,Prince George's Precinct 07-011,119,2366,77,3291,3410,1.0,0.034897360703812316,0.9651026392961877,967,0.693841642228739,0.02258064516129032,0.28357771260997067
1430,Prince George's,3276,Prince George's Precinct 07-009,309,2226,144,2967,3276,1.0,0.09432234432234432,0.9056776556776557,906,0.6794871794871795,0.04395604395604396,0.2765567765567766
1431,Prince George's,3105,Prince George's Precinct 03-002,469,1747,121,2636,3105,1.0,0.15104669887278582,0.8489533011272141,1237,0.5626409017713365,0.03896940418679549,0.39838969404186797
1432,Prince George's,2246,Prince George's Precinct 07-006,744,1218,211,1502,2246,1.0,0.3312555654496883,0.6687444345503116,817,0.5422974176313446,0.09394479073909172,0.3637577916295637
1433,Prince George's,2272,Prince George's Precinct 07-008,707,1146,141,1565,2272,1.0,0.31117957746478875,0.6888204225352113,985,0.5044014084507042,0.06205985915492958,0.4335387323943662
1434,Prince George's,1809,Prince George's Precinct 07-014,794,893,222,1015,1809,1.0,0.4389165284687673,0.5610834715312327,694,0.49364289662797123,0.12271973466003316,0.38363736871199555
1435,Prince George's,5609,Prince George's Precinct 07-001,1105,2459,249,4504,5609,1.0,0.19700481369228026,0.8029951863077197,2901,0.43840256730254945,0.04439293991798895,0.5172044927794616
1436,Prince George's,2447,Prince George's Precinct 14-007,635,1405,153,1812,2447,1.0,0.2595014303228443,0.7404985696771557,889,0.5741724560686555,0.06252554147936248,0.363302002451982
1437,Prince George's,2578,Prince George's Precinct 14-001,1082,1357,244,1496,2578,1.0,0.4197051978277735,0.5802948021722265,977,0.5263770364623739,0.09464701318851823,0.37897595034910786
1438,Prince George's,1468,Prince George's Precinct 07-016,687,645,176,781,1468,1.0,0.46798365122615804,0.532016348773842,647,0.4393732970027248,0.11989100817438691,0.44073569482288827
1439,Prince George's,1951,Prince George's Precinct 14-010,641,922,153,1310,1951,1.0,0.3285494618144541,0.6714505381855459,876,0.4725781650435674,0.07842132239876987,0.4490005125576627
1440,Prince George's,2627,Prince George's Precinct 07-005,1543,1063,426,1084,2627,1.0,0.5873620098972212,0.41263799010277885,1138,0.40464408070041874,0.16216216216216217,0.4331937571374191
1461,Prince George's,5205,Prince George's Precinct 17-007,218,1628,82,4987,5205,1.0,0.04188280499519693,0.9581171950048031,3495,0.31277617675312197,0.015754082612872238,0.6714697406340058
1462,Prince George's,3271,Prince George's Precinct 17-006,182,629,44,3089,3271,1.0,0.05564047691837359,0.9443595230816264,2598,0.19229593396514827,0.013451543870376031,0.7942525221644757
1464,Prince George's,6128,Prince George's Precinct 17-011,159,1376,96,5969,6128,1.0,0.025946475195822456,0.9740535248041775,4656,0.2245430809399478,0.015665796344647518,0.7597911227154047
1465,Prince George's,1828,Prince George's Precinct 17-005,235,667,47,1593,1828,1.0,0.12855579868708972,0.8714442013129103,1114,0.3648796498905908,0.025711159737417943,0.6094091903719913
1466,Prince George's,11788,Prince George's Precinct 17-003,289,941,80,11499,11788,1.0,0.024516457414319646,0.9754835425856804,10767,0.07982694265354598,0.0067865626060400405,0.913386494740414
