race,PRES16D,PRES16R,PRES16None
WVAP,0.1467 (0.1403-0.1535),0.2201 (0.2178-0.2225),0.6332 (0.6262-0.6401)
BVAP,0.2849 (0.2716-0.2986),0.0132 (0.011-0.0158),0.7018 (0.6882-0.7152)
HVAP,0.1434 (0.0853-0.1934),0.0296 (0.0214-0.0398),0.827 (0.7776-0.881)
OVAP,0.5112 (0.4537-0.5634),0.0334 (0.0267-0.0411),0.4554 (0.4025-0.5147)
