race,AG18D,AG18R,AG18None
WVAP,0.1519 (0.1454-0.1584),0.1926 (0.19-0.1952),0.6555 (0.6485-0.6623)
BVAP,0.2576 (0.2443-0.2698),0.0146 (0.0121-0.0173),0.7279 (0.7153-0.7412)
HVAP,0.0972 (0.061-0.1352),0.0238 (0.0117-0.0355),0.879 (0.8405-0.9176)
OVAP,0.571 (0.517-0.6196),0.0435 (0.0343-0.0542),0.3855 (0.3348-0.4396)
