race,PRES12D,PRES12R,PRES12None
WVAP,0.2016 (0.1952-0.2082),0.2734 (0.2709-0.2757),0.525 (0.5182-0.5315)
BVAP,0.4225 (0.4103-0.4343),0.0081 (0.0066-0.0097),0.5694 (0.5574-0.5819)
HVAP,0.1128 (0.0726-0.1584),0.0376 (0.029-0.0477),0.8496 (0.8035-0.8897)
OVAP,0.5543 (0.4978-0.6055),0.0359 (0.0283-0.045),0.4098 (0.3578-0.4661)
