race,COMP14D,COMP14R,COMP14None
WVAP,0.175 (0.1685-0.1812),0.1782 (0.1756-0.1808),0.6468 (0.6403-0.6534)
BVAP,0.2177 (0.2072-0.2286),0.0121 (0.01-0.0144),0.7702 (0.7587-0.781)
HVAP,0.0418 (0.0261-0.0605),0.0204 (0.0096-0.0324),0.9378 (0.911-0.9612)
OVAP,0.2587 (0.2051-0.3122),0.0507 (0.0395-0.063),0.6906 (0.6371-0.7438)
