race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0158 (0.0147-0.0169),0.0257 (0.0247-0.0266),0.0229 (0.022-0.0238),0.9356 (0.9339-0.9373)
OVAP,0.0703 (0.0681-0.0727),0.0146 (0.0134-0.016),0.0125 (0.0113-0.0139),0.9025 (0.8996-0.9055)
