race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.042 (0.0406-0.0434),0.0032 (0.0027-0.0037),0.0216 (0.0206-0.0227),0.9332 (0.9314-0.935)
OVAP,0.0318 (0.03-0.0336),0.0304 (0.0293-0.0313),0.0274 (0.0259-0.0289),0.9105 (0.9078-0.9129)
