race,COMP18D,COMP18R,COMP18None
WVAP,0.2042 (0.1979-0.211),0.1548 (0.1523-0.1573),0.6409 (0.6342-0.6476)
BVAP,0.253 (0.2406-0.2661),0.0141 (0.0117-0.0167),0.7329 (0.7197-0.7454)
HVAP,0.0872 (0.0572-0.1282),0.0312 (0.022-0.0415),0.8816 (0.8388-0.9152)
OVAP,0.4704 (0.4129-0.5228),0.0491 (0.0392-0.0598),0.4805 (0.4277-0.5368)
